artist,bio,Image URL,key
Manuel Turizo,"Manuel Turizo Zapata (Latin American Spanish pronunciation: [maˈnwel tuˈɾiso saˈpata]; born 12 April 2000) is a Colombian singer and songwriter. Born and raised in Montería, he started making music at 13. He first became popular with his song ""Una Lady Como Tú"" (2016). He made his debut album ADN on August 23, 2019. Turizo's music contains influences from pop music, trap, and vallenato, and his vocal range has been classified as baritone. His most well-known song is his 2022 single ""La Bachata"".",https://upload.wikimedia.org/wikipedia/commons/f/f0/Manuel_Turizo_%28Dec_2024%29.png,manuelturizo
Bad Bunny,"Benito Antonio Martínez Ocasio (Spanish: [beˈnito anˈtonjo maɾˈtines oˈkasjo]; born March 10, 1994), better known by his stage name Bad Bunny, is a Puerto Rican rapper and singer. Known as the ""King of Latin Trap"", Bad Bunny is credited with helping Spanish-language rap music achieve mainstream popularity in the worldwide market and is considered one of the best Latin rappers of all time. He became the first non-English language American artist to be Spotify's most streamed artist of the year, d",https://upload.wikimedia.org/wikipedia/commons/b/b1/Bad_Bunny_2019_by_Glenn_Francis_%28cropped%29.jpg,badbunny
OneRepublic,"OneRepublic is an American pop rock band from Colorado Springs, Colorado, formed in 2002. The lineup currently consists of Ryan Tedder (lead vocals, piano), Zach Filkins (guitar, viola), Drew Brown (guitar), Brent Kutzle (bass, cello), Eddie Fisher (drums), and Brian Willett (keyboards, percussion, violin).
The band achieved its first commercial success on Myspace as an unsigned act. In late 2002, after OneRepublic played shows throughout the Los Angeles area, several record labels approached th",https://upload.wikimedia.org/wikipedia/commons/b/b3/OneRepublic_performing_in_Toronto%2C_Canada%2C_Aug_2017.jpg,onerepublic
Tom Odell,"Thomas Peter Odell (born 24 November 1990) is an English singer-songwriter. He released his debut extended play, Songs from Another Love, in 2012. He won the BRITs Critics' Choice Award in early 2013. Odell's debut studio album, Long Way Down, was issued on 24 June 2013. Three years later, his follow-up studio album, Wrong Crowd, was released, on 10 June 2016. This was followed by several other albums.

",https://upload.wikimedia.org/wikipedia/commons/7/7c/Tom_Odell-2140.jpg,tomodell
Beyoncé,"Beyoncé Giselle Knowles-Carter (  bee-ON-say; born September 4, 1981) is an American singer, songwriter, actress, and businesswoman. With a career spanning over three decades, she has established herself as one of the most significant figures of the 21st century through her vocal ability, musical versatility, live performances, and culturally important works. Credited with revolutionizing the sound of popular music, Beyoncé is often deemed one of the most influential artists of all time. Time na",https://upload.wikimedia.org/wikipedia/commons/0/02/Beyonc%C3%A9_-_Tottenham_Hotspur_Stadium_-_1st_June_2023_%2891_of_118%29_%2852945300772%29_%28cropped_2%29.jpg,beyoncé
The Neighbourhood,"The Neighbourhood (abbreviated as the nbhd) is an American alternative rock band formed in Newbury Park, California, in 2011. The band is composed of vocalist Jesse Rutherford, guitarists Jeremy Freedman and Zach Abels, and bassist Mikey Margott. Drummer Brandon Fried was also part of the band from 2014 until 2022. After releasing two EPs, I'm Sorry... and Thank You, the Neighbourhood signed with Columbia Records to release their debut studio album, I Love You. (2013). ""Sweater Weather"", the alb",https://upload.wikimedia.org/wikipedia/commons/1/16/The_Neighbourhood_-_2018153150556_2018-06-02_Rock_am_Ring_-_5DS_R_-_0046_-_5DSR5992.jpg,theneighbourhood
Arctic Monkeys,"Arctic Monkeys are an English rock band formed in Sheffield in 2002. They comprise lead singer Alex Turner, drummer Matt Helders, guitarist Jamie Cook and bassist Nick O'Malley. The co-founder and original bassist Andy Nicholson left in 2006.
Arctic Monkeys were one of the first bands to come to public attention via the Internet, with commentators suggesting they represented a change in how new bands are promoted and marketed. Their debut album, Whatever People Say I Am, That's What I'm Not (200",https://upload.wikimedia.org/wikipedia/commons/0/04/Arctic_Monkeys_-_Orange_Stage_-_Roskilde_Festival_2014.jpg,arcticmonkeys
Nicki Minaj,"Onika Tanya Maraj-Petty (born December 8, 1982), known professionally as Nicki Minaj (  NIK-ee min-AHZH), is a Trinidadian rapper, singer, and songwriter. Regarded as the ""Queen of Rap"" and one of the most influential rappers of all time, she is noted for her dynamic rap flow, witty lyrics, musical versatility, and alter egos, and is credited as a driving force in the mainstream resurgence of female rap since the 2010s. Minaj began rapping professionally in the early 2000s and gained recognition",https://upload.wikimedia.org/wikipedia/commons/5/54/Nicki_Minaj_MTV_VMAs_4.jpg,nickiminaj
Luar La L,No Wikipedia page found for Luar La L.,https://via.placeholder.com/160,luarlal
Doja Cat,"Amala Ratna Zandile Dlamini (born October 21, 1995), known professionally as Doja Cat (), is an American rapper, singer, songwriter, and record producer. Born and raised in Los Angeles, California, she began making and releasing music on SoundCloud as a teenager. Her song ""So High"" caught the attention of Kemosabe and RCA Records, with whom she signed a recording contract prior to the release of her debut extended play, Purrr! (2014).
After a hiatus from releasing music and the uneventful rollou",https://upload.wikimedia.org/wikipedia/commons/c/ce/DojaCatO2140624_%2818_of_105%29_%2853792877753%29_%28cropped%29.jpg,dojacat
Kate Bush,"Catherine Bush (born 30 July 1958) is an English singer, songwriter, record producer, and dancer. Bush began writing songs at age 11. She was signed to EMI Records after David Gilmour of Pink Floyd helped produce a demo tape. In 1978, at the age of 19, she topped the UK singles chart for four weeks with her debut single ""Wuthering Heights"", becoming the first female artist to achieve a UK number one with a fully self-written song. Her debut studio album, The Kick Inside (1978), peaked at number ",https://upload.wikimedia.org/wikipedia/commons/f/f5/Kate_Bush_Hounds_of_Love_%281985_EMI_publicity_photo%29_02_%28cropped%29.jpg,katebush
Ruth B.,"Ruth Berhe (born July 2, 1995), better known by her stage name Ruth B., is a Canadian singer and songwriter from Edmonton, Alberta. She started by singing songs on Vine in early 2013. In November 2015, she released her debut extended play The Intro. On May 5, 2017, she released her debut album Safe Haven. It has gathered over 2.5 billion overall streams globally as of June 2024. Her double-platinum single ""Lost Boy"" has accumulated over 850 million streams on Spotify, and her YouTube channel has",https://via.placeholder.com/160,ruthb
Beach Weather,"Beach Weather is an American pop rock band formed in 2015 by lead vocalist and rhythm guitarist Nick Santino, best known for their song ""Sex, Drugs, Etc."" which was certified Platinum on May 16, 2023.
Beach Weather has released four EPs and their debut full-length studio album, Pineapple Sunrise, was released on March 3, 2023, through Arista Records. They released their second studio album, Melt, on October 25, 2024, also through Arista Records.",https://via.placeholder.com/160,beachweather
Stephen Sanchez,"Stephen Christopher Sanchez (born November 3, 2002) is an American singer-songwriter. Based in Nashville, Sanchez released his debut extended play What Was, Not Now in October 2021. On September 1, 2021, Sanchez released the single ""Until I Found You"", which peaked at No. 23 on the Billboard Hot 100, No. 8 on the Australian ARIA Chart and No. 14 on the UK Singles Chart. The song was nominated for Billboard Music Awards and MTV Video Music Awards for Push Performance of the Year and Top Rock Song",https://upload.wikimedia.org/wikipedia/commons/1/1e/Steven_Sanchez_%40_The_Wiltern_11_03_2023_%2853423444291%29_%28cropped%29.jpg,stephensanchez
Lil Nas X,"Montero Lamar Hill (born April 9, 1999), better known by his stage name Lil Nas X ( NAHZ), is an American rapper, singer, and songwriter. He rose to prominence with the release of his 2018 country rap single ""Old Town Road,"" the longest-running number-one song (at 19 weeks) since the U.S. Billboard Hot 100's 1958 inception. Simultaneously, he came out as gay, the only artist to do so while having a number-one record.
Following the success of ""Old Town Road"", Lil Nas X signed with Columbia Record",https://upload.wikimedia.org/wikipedia/commons/8/8a/Lil_Nas_X_Talks_About_Gaining_His_Father%27s_Acceptance%2C_Growing_Up_in_Atlanta%2C_%26_FINDING_HIMSELF_7-32_screenshot_%28headshot%29.jpg,lilnasx
Armani White,"Enoch Armani Tolbert (born September 25, 1996), known professionally as Armani White, is an American rapper, singer, and songwriter. His 2022 single ""Billie Eilish"" peaked at number 58 on the Billboard Hot 100, and spawned a remix featuring rappers Ludacris, Busta Rhymes, and N.O.R.E. Prior to this, White was signed to Def Jam Recordings.",https://upload.wikimedia.org/wikipedia/commons/b/bf/Armani_White_in_2023_%28cropped%29.jpg,armaniwhite
The Walters,"The Walters are an American indie pop band formed in 2014, from Chicago, Illinois, composed of lead vocalist Luke Olson, lead guitarist Walter Kosner, bassist Danny Wells, and drummer Charlie Ekhaus. They have released three EPs, one album, and had their first national tour in 2017.",https://upload.wikimedia.org/wikipedia/commons/5/5d/The_Walters_Band.jpg,thewalters
