Artist Name,Followers,Image URL,bio,key
(G)I-DLE,10411278,https://i.scdn.co/image/ab6761610000e5eb7fd16327c86d500f83be1d6a,"I-dle (Korean: 아이들; RR: Aideul; stylized in all lowercase), formerly known as (G)I-dle ((여자)아이들; Yeoja Aideul), is a South Korean girl group formed by Cube Entertainment in 2018. The group consists of five members: Miyeon, Minnie, Soyeon, Yuqi, and Shuhua. Originally a sextet ensemble, member Soojin departed the group on August 14, 2021. They are praised for their musicality, versatility, and for breaking stereotypes as a ""self-producing"" idol group, known for writing and producing much of their... (wikipedia)",(g)i-dle
2PM,866451,https://i.scdn.co/image/ab6761610000e5eb125d29add59b1d82aa236423,"2PM (Korean: 투피엠; RR: Tupiem) is a South Korean boy band formed by JYP Entertainment. The group is composed of six members: Jun. K (formerly known as Junsu), Nichkhun, Taecyeon, Wooyoung, Junho, and Chansung. Originally a seven-piece group, Jaebeom left the band in 2009.
Through the documentary series Hot Blood Men, Korean producer Park Jin-young formed an eleven-member band known as One Day. Eventually, the band was split into the hip-hop group 2PM and the ballad-oriented group 2AM. 2PM debuted... (wikipedia)",2pm
AGNEZ MO,178236,https://i.scdn.co/image/ab6761610000e5ebfff405f6dd048568fe7b8e4d,"Agnes Monica Muljoto (born 1 July 1986), known professionally as Agnez Mo (stylized in all caps), is an Indonesian singer, songwriter, and actress. Born and raised in Jakarta, she was initially known as a child artist. At the age of six, she began recording songs for the first of her children's music albums, while she also became a Television Host for several kids TV show's then she transformed into a professional singer who had an extraordinary influence on pop culture in Indonesia, so that MTV... (wikipedia)",agnezmo
ASTRO,2173940,https://i.scdn.co/image/ab6761610000e5ebee6186f4ba9d39d9438ad7d8,Astro may refer to:... (wikipedia),astro
ATEEZ,4676651,https://i.scdn.co/image/ab6761610000e5ebd28d311ccd01e2fd8917cb5c,"Ateez (Korean: 에이티즈; RR: Eitijeu; stylized in all caps) is a South Korean boy band formed by KQ Entertainment. The group consists of eight members: Hongjoong, Seonghwa, Yunho, Yeosang, San, Mingi, Wooyoung and Jongho. They debuted on October 24, 2018, with the extended play (EP) Treasure EP.1: All to Zero.
As of January 2025, Ateez have released eleven EPs, four studio albums, twenty-four singles and one single album in the Korean language, as well as two single albums, three EPs and two studio... (wikipedia)",ateez
Ada Band,1982029,https://i.scdn.co/image/ab6761610000e5eb8ba4af6a60721f3b8c6bcb19,"Ada Band is an Indonesian pop rock band formed in Jakarta in 1996. The group currently consists of Indra Sinaga (vocals), Marshal Surya Rachman (guitars), Dika Satjadibrata (bass) & Adhy Pratama (drums).
Ada Band are known for their hit singles, such as ""Manusia Bodoh"", ""Yang Terbaik Bagimu"", ""Masih"", ""Seharusnya"", ""Ough"" & ""Bilakah"". The first album titled Seharusnya (Should), released in 1997. Their 2004 work, Heaven of Love, was the band's key seller, going quadruple platinum in their home na... (wikipedia)",adaband
Adele,63012492,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17,"Adele Laurie Blue Adkins (; born 5 May 1988) is an English singer-songwriter. Regarded as a British icon, she is known for her mezzo-soprano vocals and sentimental songwriting. Her accolades include 16 Grammy Awards, 12 Brit Awards (including three for British Album of the Year), an Academy Award, a Primetime Emmy Award, and a Golden Globe Award.
After graduating from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included th... (wikipedia)",adele
Alex Warren,947738,https://i.scdn.co/image/ab6761610000e5eb16259488e0146d0807b53e62,"Alexander Warren Hughes (born September 18, 2000) is an American singer, songwriter, YouTuber, and influencer. He was a founding member of the collaborative TikTok group the Hype House from 2019 to 2022. He began independently releasing music in 2021 before getting signed to Atlantic Records the following year. His 2024 single ""Burning Down"" from his debut studio album, You'll Be Alright, Kid (Chapter 1) (2024), was his first song to appear on the Billboard Hot 100 chart. His 2025 single ""Ordina... (wikipedia)",alexwarren
Andien,367282,https://i.scdn.co/image/ab6761610000e5eb16a73fb9eb891393b92144cc,"Andini Aisyah Hariadi or better known by her stage name Andien (born August 25, 1985) is an Indonesian actress and singer. She was born in Jakarta, the eldest of the three children of Didiek Hariadi and Henny Sri Hardini. She married Irfan Wahyudi on April 27, 2015... (wikipedia)",andien
Andmesh,6369945,https://i.scdn.co/image/ab6761610000e5ebf89ddd2d4c1723297636f4ff,No Wikipedia page found for Andmesh... (wikipedia),andmesh
Anggun,70026,https://i.scdn.co/image/8d478a874cf77b767b1524f21728d8dadab63c27,"Anggun Cipta Sasmi (Indonesian pronunciation: [aŋˈɡun ˈtʃipta ˈsasmi]; (born 29 April 1974), known mononymously as Anggun, is an Indonesian-French singer, songwriter, and television personality. Born in Jakarta, she began performing at the age of seven and recorded a children's album two years later. She rose to fame in 1989 as a teenage rock star and by 1993 she had released five Indonesian-language studio albums and a soundtrack album to the Indonesian film Si Roy (1989). Rolling Stone listed... (wikipedia)",anggun
Anitta,44,https://i.scdn.co/image/ab67616d0000b273fa3f14b9cae534cb23793942,"Anitta may refer to:

Anitta (king), Hittite king
Anitta (singer) (born 1993), Brazilian singer
Anitta Müller-Cohen (1890–1962), Austrian-born Israeli social worker, politician and writer... (wikipedia)",anitta
Arctic Monkeys,29329485,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,"Arctic Monkeys are an English rock band formed in Sheffield in 2002. They comprise lead singer Alex Turner, drummer Matt Helders, guitarist Jamie Cook and bassist Nick O'Malley. The co-founder and original bassist Andy Nicholson left in 2006.
Arctic Monkeys were one of the first bands to come to public attention via the Internet, with commentators suggesting they represented a change in how new bands are promoted and marketed. Their debut album, Whatever People Say I Am, That's What I'm Not (200... (wikipedia)",arcticmonkeys
Ari Lasso,2387890,https://i.scdn.co/image/ab6761610000e5eb4e1ed336c3ff93a95fa44e14,"Ari Bernardus Lasso (born 17 January 1973) is an Indonesian singer of Minahasan and Toraja origin. Songwriter, musician, and former lead vocalist of Dewa 19... (wikipedia)",arilasso
Ariana Grande,104287151,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5,"Ariana Grande-Butera (  AR-ee-AH-nə GRAHN-day byuu-TAIR-ə; born June 26, 1993) is an American singer, songwriter, and actress. Regarded as a pop icon and an influential figure in popular music, Grande is known for her four-octave vocal range, which extends into the whistle register.
Grande began her career as a teenage actress by appearing in the Broadway musical 13 (2008), and rose to fame as Cat Valentine in the Nickelodeon television series Victorious (2010–2013) and its spin-off series Sam &... (wikipedia)",arianagrande
Arsy Widianto,940296,https://i.scdn.co/image/ab6761610000e5ebcfbb23382ea9a0dfbd371077,No Wikipedia page found for Arsy Widianto... (wikipedia),arsywidianto
Ava Max,7392935,https://i.scdn.co/image/ab6761610000e5ebde0f96585c65bb764ee81b67,"Amanda Ava Koçi (born Amanda Koçi; February 16, 1994), known professionally as Ava Max ( AY-və), is an American singer-songwriter. She rose to prominence in 2018 with the release of her breakthrough single ""Sweet but Psycho"". The song peaked at number one in 22 countries and reached number two and number 10 on the Australian ARIA Charts and US Billboard Hot 100, respectively.
In March 2020, Max released the song, ""Kings & Queens"", which peaked at number 13 on the Billboard Hot 100 and at number... (wikipedia)",avamax
Ayu Ting Ting,428051,https://i.scdn.co/image/ab6761610000e5ebde5faf5f15ea3cb20e14b5ad,"Ayu Rosmalina (born (1992-06-20)June 20, 1992), better known by her stage name Ayu Ting Ting, is an Indonesian singer and presenter. One of Indonesian dangdut divas, she rose to fame following the sudden virality of her song ""Alamat Palsu"" (""Fake Address"") in 2011. Her stage name ""Ting Ting"" means ""virgin"" in Indonesian... (wikipedia)",ayutingting
BIGBANG,5618351,https://i.scdn.co/image/ab6761610000e5eb597a4257d0022e2ac837fa7d,"BigBang (Korean: 빅뱅; stylized in all caps) is a South Korean boy band formed by YG Entertainment. The group consists of three members: G-Dragon, Taeyang, and Daesung. Originally a five-piece band, Seungri retired from the entertainment industry in March 2019 and T.O.P left in May 2023. Dubbed the ""Kings of K-pop"", they helped spread the Korean Wave internationally and are considered one of the most influential acts in K-pop. They are known for their trendsetting musical experimentation, self-pro... (wikipedia)",bigbang
